"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
16439,35.43822,32.417118,85.7,"eocene_Base","linear","CC'",NA
0,35.137028,32.511588,NA,"eocene_Base","Source","DD'",NA
679.9846145,35.14340121,32.50867066,NA,"eocene_Base","Source","DD'",NA
1359.969229,35.149774,32.505753,NA,"eocene_Base","Source","DD'",NA
1882.65431,35.15498963,32.50402368,NA,"eocene_Base","Source","DD'",NA
2406.584572,35.16020506,32.50229414,NA,"eocene_Base","Source","DD'",NA
2931.092365,35.16542029,32.50056438,NA,"eocene_Base","Source","DD'",NA
3455.914743,35.17063532,32.49883441,NA,"eocene_Base","Source","DD'",NA
3980.927287,35.17585014,32.49710423,NA,"eocene_Base","Source","DD'",NA
4506.063529,35.18106477,32.49537383,NA,"eocene_Base","Source","DD'",NA
5031.284735,35.1862792,32.49364321,NA,"eocene_Base","Source","DD'",NA
5556.566813,35.19149342,32.49191238,NA,"eocene_Base","Source","DD'",NA
6081.89399,35.19670745,32.49018133,NA,"eocene_Base","Source","DD'",NA
6607.25551,35.20192127,32.48845007,NA,"eocene_Base","Source","DD'",NA
7132.643783,35.20713489,32.4867186,NA,"eocene_Base","Source","DD'",NA
7658.053304,35.21234832,32.48498691,NA,"eocene_Base","Source","DD'",NA
8183.47998,35.21756154,32.483255,NA,"eocene_Base","Source","DD'",NA
8708.920706,35.22277456,32.48152288,NA,"eocene_Base","Source","DD'",NA
9234.373083,35.22798738,32.47979055,NA,"eocene_Base","Source","DD'",NA
9759.83523,35.2332,32.478058,NA,"eocene_Base","Source","DD'",NA
9770,35.2332,32.478058,192.1771429,"eocene_Base","linear","DD'",NA
10202,35.23713581,32.4758233,169.2527273,"eocene_Base","linear","DD'",NA
12387,35.25681192,32.46464798,106.615,"eocene_Base","linear","DD'",NA
13922,35.27110386,32.45779492,93.246,"eocene_Base","linear","DD'",NA
13925.9494,35.27110386,32.45779492,104,"eocene_Base","Source","DD'",NA
14583.9179,35.27752638,32.45541252,64,"eocene_Base","Source","DD'",NA
15241.91155,35.28394856,32.45302979,42,"eocene_Base","Source","DD'",NA
15899.92722,35.2903704,32.45064673,9,"eocene_Base","Source","DD'",NA
16557.96229,35.2967919,32.44826335,-1,"eocene_Base","Source","DD'",NA
17216.01453,35.30321306,32.44587964,-10,"eocene_Base","Source","DD'",NA
